MentionID,TranscriptID,NewsProgram,ChannelType,TimePeriod,CaseID,IssueArea,CaseStage,WordCountRAND,MultiMention,MultiMentionType,MentionContext,AnchorOnly,Correspondent,Debate,NewsInterview
2004078PCMSNBC030305,MSNBC030305,Hardball,CableNews,2000_2018,2004078,FirstAmendment,PostCert,"2,162",0,NA,1,0,0,0,1
2006031PDMSNBC062207,MSNBC062207,Hardball,CableNews,2000_2018,2006031,Abortion,PostDecision,129,0,NA,3,0,0,1,0
2017020PDFox081518,Fox081518,SpecialReport,CableNews,2000_2018,2017020,SexDiscrimination,PostDecision,135,0,NA,3,1,0,0,0
2014061PDFox081115,Fox081115,SpecialReport,CableNews,2000_2018,2014061,EconomicActivity,PostDecision,140,0,NA,3,0,1,0,0
2004079AFox032905,Fox032905,SpecialReport,CableNews,2000_2018,2004079,EconomicActivity,Argument,439,0,NA,1,0,1,0,0
2004079DFox062705,Fox062705,SpecialReport,CableNews,2000_2018,2004079,EconomicActivity,Decision,43,1,Separate,1,1,0,0,0
2005020AABC113005,ABC113005,WorldNewsTonight,NetworkNews,2000_2018,2005020,Abortion,Argument,568,0,NA,1,0,1,0,0
2005020AFox113005,Fox113005,SpecialReport,CableNews,2000_2018,2005020,Abortion,Argument,539,0,NA,1,0,1,0,0
2005020CABC052305,ABC052305,WorldNewsTonight,NetworkNews,2000_2018,2005020,Abortion,Cert,541,0,NA,1,1,0,0,0
2005020CFox052305,Fox052305,SpecialReport,CableNews,2000_2018,2005020,Abortion,Cert,50,0,NA,1,1,0,0,0
2005020DABC011806,ABC011806,WorldNewsTonight,NetworkNews,2000_2018,2005020,Abortion,Decision,87,0,NA,1,1,0,0,0
2005020DFox011806,Fox011806,SpecialReport,CableNews,2000_2018,2005020,Abortion,Decision,659,0,NA,1,0,1,0,0
2005020PCABC070105,ABC070105,WorldNewsTonight,NetworkNews,2000_2018,2005020,Abortion,PostCert,108,1,Identical,2,0,1,0,0
2005027DFox022106,Fox022106,SpecialReport,CableNews,2000_2018,2005027,FirstAmendment,Decision,89,1,Separate,1,1,0,0,0
2005033DFox022206,Fox022206,SpecialReport,CableNews,2000_2018,2005033,EconomicActivity,Decision,61,0,NA,1,1,0,0,0
2005037DFox022806,Fox022806,SpecialReport,CableNews,2000_2018,2005037,Abortion,Decision,84,0,NA,1,1,0,0,0
2005039AFox120605,Fox120605,SpecialReport,CableNews,2000_2018,2005039,FirstAmendment,Argument,555,0,NA,1,0,1,0,0
2005039DABC030606,ABC030606,WorldNewsTonight,NetworkNews,2000_2018,2005039,FirstAmendment,Decision,60,0,NA,1,1,0,0,0
2005039DFox030606,Fox030606,SpecialReport,CableNews,2000_2018,2005039,FirstAmendment,Decision,694,0,NA,1,0,1,0,0
2005039PCABC070105,ABC070105,WorldNewsTonight,NetworkNews,2000_2018,2005039,FirstAmendment,PostCert,108,1,Identical,2,0,1,0,0
2013033PDFox040414,Fox040414,SpecialReport,CableNews,2000_2018,2013033,FirstAmendment,PostDecision,141,0,NA,3,0,0,1,0
2002083PDMSNBC062613,MSNBC062613,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,142,1,Secondary,2,0,0,1,0
2005058PAFox021706,Fox021706,SpecialReport,CableNews,2000_2018,2005058,FirstAmendment,PostArgument,64,0,NA,1,1,0,0,0
2005069AFox022106,Fox022106,SpecialReport,CableNews,2000_2018,2005069,EconomicActivity,Argument,527,1,Separate,1,0,1,0,0
2005069DABC061906,ABC061906,WorldNewsTonight,NetworkNews,2000_2018,2005069,EconomicActivity,Decision,41,1,Separate,1,1,0,0,0
2005069DFox061906,Fox061906,SpecialReport,CableNews,2000_2018,2005069,EconomicActivity,Decision,600,0,NA,1,0,1,0,0
1991117PDABC103105,ABC103105,WorldNewsTonight,NetworkNews,2000_2018,1991117,Abortion,PostDecision,143,0,NA,2,0,1,0,0
2005081DABC062606,ABC062606,WorldNewsTonight,NetworkNews,2000_2018,2005081,FirstAmendment,Decision,48,0,NA,1,1,0,0,0
2005081DFox062606,Fox062606,SpecialReport,CableNews,2000_2018,2005081,FirstAmendment,Decision,785,0,NA,1,0,1,0,0
2005081PAFox062206,Fox062206,SpecialReport,CableNews,2000_2018,2005081,FirstAmendment,PostArgument,121,0,NA,2,0,1,0,0
2006017DABC022007,ABC022007,WorldNewsTonight,NetworkNews,2000_2018,2006017,EconomicActivity,Decision,423,0,NA,1,0,1,0,0
2006017DFox022007,Fox022007,SpecialReport,CableNews,2000_2018,2006017,EconomicActivity,Decision,118,0,NA,1,1,0,0,0
2006027DABC040207,ABC040207,WorldNewsTonight,NetworkNews,2000_2018,2006027,EconomicActivity,Decision,448,0,NA,1,0,1,0,0
2006027DFox040207,Fox040207,SpecialReport,CableNews,2000_2018,2006027,EconomicActivity,Decision,704,0,NA,1,0,1,0,0
2012077PDMSNBC052014,MSNBC052014,Hardball,CableNews,2000_2018,2012077,SexDiscrimination,PostDecision,145,1,Identical,2,0,0,0,1
2012079PDMSNBC052014,MSNBC052014,Hardball,CableNews,2000_2018,2012079,SexDiscrimination,PostDecision,145,1,Identical,2,0,0,0,1
2006031AABC110806,ABC110806,WorldNewsTonight,NetworkNews,2000_2018,2006031,Abortion,Argument,89,0,NA,1,1,0,0,0
2006031AFox110806,Fox110806,SpecialReport,CableNews,2000_2018,2006031,Abortion,Argument,522,1,Primary,1,0,1,0,0
2006031CABC022106,ABC022106,WorldNewsTonight,NetworkNews,2000_2018,2006031,Abortion,Cert,577,1,Primary,1,0,1,0,0
2006031CABC061906,ABC061906,WorldNewsTonight,NetworkNews,2000_2018,2006031,Abortion,Cert,35,1,Separate,1,1,0,0,0
2006031CFox022106,Fox022106,SpecialReport,CableNews,2000_2018,2006031,Abortion,Cert,"1,637",1,Primary,1,0,1,1,0
2006031DABC041807,ABC041807,WorldNewsTonight,NetworkNews,2000_2018,2006031,Abortion,Decision,532,1,Primary,1,0,1,0,0
2006031DFox041807,Fox041807,SpecialReport,CableNews,2000_2018,2006031,Abortion,Decision,637,0,NA,1,0,1,0,0
2006031PCFox100206,Fox100206,SpecialReport,CableNews,2000_2018,2006031,Abortion,PostCert,266,1,Primary,1,0,1,0,0
1999077PDMSNBC051805,MSNBC051805,Hardball,CableNews,2000_2018,1999077,FirstAmendment,PostDecision,147,1,Identical,2,0,0,0,1
2002083PDMSNBC051805,MSNBC051805,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,147,1,Identical,2,0,0,0,1
2014070PDFox071515,Fox071515,SpecialReport,CableNews,2000_2018,2014070,SexDiscrimination,PostDecision,148,0,NA,3,0,0,0,1
2002083PDMSNBC090110,MSNBC090110,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,158,0,NA,3,0,0,1,0
1991117PDMSNBC063011,MSNBC063011,Hardball,CableNews,2000_2018,1991117,Abortion,PostDecision,163,0,NA,3,0,0,0,1
